Date,HYB_Delay,weather_code_HYB,Temperature_HYB,Wind_Speed_HYB,Distance_travelled_HYB,BMT_Delay,weather_code_BMT,Temperature_BMT,Wind_Speed_BMT,Distance_travelled_BMT,VKB_Delay,weather_code_VKB,Temperature_VKB,Wind_Speed_VKB,Distance_travelled_VKB,TDU_Delay,weather_code_TDU,Temperature_TDU,Wind_Speed_TDU,Distance_travelled_TDU,CT_Delay,weather_code_CT,Temperature_CT,Wind_Speed_CT,Distance_travelled_CT,WADI_Delay,weather_code_WADI,Temperature_WADI,Wind_Speed_WADI,Distance_travelled_WADI,KLBG_Delay,weather_code_KLBG,Temperature_KLBG,Wind_Speed_KLBG,Distance_travelled_KLBG,GUR_Delay,weather_code_GUR,Temperature_GUR,Wind_Speed_GUR,Distance_travelled_GUR,SUR_Delay,weather_code_SUR,Temperature_SUR,Wind_Speed_SUR,Distance_travelled_SUR,KWV_Delay,weather_code_KWV,Temperature_KWV,Wind_Speed_KWV,Distance_travelled_KWV,PUNE_Delay,weather_code_PUNE,Temperature_PUNE,Wind_Speed_PUNE,Distance_travelled_PUNE,KYN_Delay,weather_code_KYN,Temperature_KYN,Wind_Speed_KYN,Distance_travelled_KYN,DR_Delay,weather_code_DR,Temperature_DR,Wind_Speed_DR,Distance_travelled_DR,CSMT_Delay,weather_code_CSMT,Temperature_CSMT,Wind_Speed_CSMT,Distance_travelled_CSMT
25/11/23,0.0,3.0,23.928083,17.114204,,8.0,3.0,23.850418,17.399586,,28.0,51.0,23.454,16.73516,,27.0,51.0,24.849669,11.384199,,27.0,51.0,25.394999,15.379206,,31.0,51.0,25.45517,15.496736,,16.0,51.0,25.403168,17.477621,,22.0,51.0,25.862165,18.671474,,30.0,51.0,26.873167,18.171976,,28.0,51.0,26.768583,19.61587,,58.0,53.0,24.458754,14.332341,,62.0,51.0,28.577417,8.64,,5.0,2.0,28.301,14.33234,,22.0,3.0,27.980583,17.731598,
26/11/23,1.0,51.0,24.126001,15.978484,,12.0,53.0,23.992086,16.58346,,36.0,3.0,23.83317,18.204042,,36.0,3.0,25.322584,14.658676,,38.0,51.0,25.976244,15.876775,,40.0,3.0,25.921831,17.377226,,28.0,51.0,25.711496,17.610588,,38.0,61.0,26.210081,17.581125,,42.0,63.0,26.854416,20.364674,,35.0,63.0,26.204,20.497883,,39.0,65.0,23.346252,16.563911,,48.0,63.0,26.319084,15.315873,,0.0,55.0,26.811419,22.66857,,4.0,61.0,26.757666,23.277834,
27/11/23,1.0,3.0,24.048914,13.783817,,6.0,3.0,23.92542,14.336861,,13.0,3.0,23.654,14.76439,,11.0,51.0,24.976751,12.371645,,11.0,51.0,25.503332,13.53236,,12.0,3.0,25.480165,14.973577,,24.0,3.0,25.48025,15.0038395,,26.0,53.0,25.72883,15.192682,,27.0,61.0,25.212748,17.673029,,23.0,55.0,24.674835,20.140705,,36.0,51.0,23.317085,14.33234,,46.0,53.0,26.2295,9.585739,,25.0,51.0,26.19683,16.62249,,48.0,51.0,26.318085,25.045238,
28/11/23,0.0,63.0,23.669752,14.05845,,5.0,61.0,23.427504,14.529915,,17.0,65.0,22.483171,17.81909,,17.0,65.0,23.760086,14.578888,,19.0,65.0,24.047081,17.782686,,21.0,65.0,24.211418,20.316889,,14.0,65.0,23.59275,17.786331,,14.0,65.0,23.458,17.227419,,16.0,65.0,22.577332,22.828087,,16.0,53.0,22.983164,19.995398,,27.0,51.0,23.125418,11.792404,,35.0,1.0,25.900337,11.966954,,11.0,1.0,25.736414,17.57744,,9.0,51.0,26.184748,25.071098,
29/11/23,0.0,3.0,24.038504,15.496736,,13.0,3.0,23.798334,15.876775,,12.0,3.0,23.08525,15.7908325,,13.0,51.0,24.139252,12.0694,,13.0,3.0,24.867918,13.830749,,20.0,3.0,25.038506,15.530151,,21.0,3.0,24.534418,12.55879,,25.0,3.0,24.983,13.1041975,,26.0,51.0,24.244001,14.081477,,21.0,61.0,23.189417,14.84318,,60.0,51.0,22.883749,8.707238,,71.0,3.0,25.050337,12.245294,,32.0,3.0,24.632254,17.057314,,33.0,3.0,25.368082,24.962307,
30/11/23,1.0,3.0,24.180168,15.629971,,6.0,3.0,23.929586,15.815435,,7.0,3.0,23.435251,16.039202,,7.0,3.0,24.38925,15.03835,,3.0,3.0,24.767916,16.363178,,4.0,51.0,25.005167,18.899143,,0.0,51.0,24.55108,17.610588,,5.0,51.0,24.755919,17.566378,,8.0,63.0,24.248167,20.073025,,1.0,61.0,23.720665,22.682856,,18.0,51.0,23.09625,13.339445,,22.0,3.0,25.650337,12.9249525,,31.0,2.0,25.2385,19.406637,,39.0,2.0,25.83475,25.7041,
01/12/23,1.0,2.0,23.59475,14.372974,,5.0,2.0,23.583754,14.48972,,17.0,3.0,23.10817,12.371645,,16.0,2.0,23.793417,9.826088,,12.0,2.0,24.63458,11.212135,,15.0,2.0,25.090584,12.57426,,44.0,2.0,24.596914,11.252519,,46.0,1.0,24.883001,11.4862,,48.0,65.0,23.714838,14.934577,,41.0,55.0,22.929,18.359999,,44.0,51.0,23.05458,8.311245,,57.0,3.0,25.479502,15.158522,,26.0,2.0,24.951002,17.072504,,55.0,1.0,25.663918,20.991426,
02/12/23,0.0,3.0,24.028084,14.764389,,11.0,3.0,23.87542,14.440443,,14.0,3.0,23.360254,15.188415,,14.0,3.0,23.968414,11.525623,,10.0,3.0,24.7575,12.4811535,,13.0,3.0,25.317667,12.620554,,10.0,3.0,24.798996,12.964998,,14.0,3.0,25.247583,13.684735,,19.0,3.0,24.416918,15.745627,,12.0,3.0,24.03108,14.291592,,43.0,51.0,24.21083,16.29174,,46.0,3.0,27.329504,16.563911,,36.0,3.0,26.386415,16.489416,,48.0,3.0,26.46808,20.88,
03/12/23,0.0,3.0,24.728086,16.516901,,5.0,51.0,24.679586,16.171976,,16.0,3.0,23.84775,19.05281,,16.0,3.0,24.714254,14.168641,,12.0,3.0,25.43875,15.827721,,15.0,3.0,25.819754,16.981165,,12.0,3.0,25.388578,16.1198,,17.0,3.0,25.755915,14.707222,,18.0,3.0,24.583582,16.434305,,15.0,3.0,23.960249,14.003028,,56.0,3.0,24.462915,14.917212,,59.0,3.0,28.146172,13.441071,,21.0,3.0,27.711418,19.734436,,17.0,3.0,27.620165,25.849905,
04/12/23,0.0,53.0,24.075998,18.204042,,13.0,53.0,24.017084,18.228943,,30.0,51.0,23.276918,19.966211,,31.0,51.0,24.703833,18.35647,,36.0,51.0,25.315832,19.33639,,40.0,51.0,25.569748,19.652176,,41.0,51.0,25.465668,18.837322,,47.0,51.0,25.72467,17.25373,,58.0,3.0,24.556503,17.414474,,51.0,3.0,24.283167,16.92383,,69.0,3.0,24.52125,13.708391,,78.0,51.0,28.656584,15.978486,,74.0,51.0,28.078085,21.734581,,78.0,3.0,27.326414,29.354902,
05/12/23,1.0,63.0,22.09892,24.162947,,0.0,63.0,21.979584,24.464113,,5.0,61.0,21.649834,24.344624,,2.0,61.0,23.630919,22.406927,,2.0,51.0,25.134583,23.770906,,11.0,51.0,25.488497,22.782625,,35.0,53.0,25.317749,20.972897,,36.0,53.0,25.426748,19.878391,,38.0,51.0,24.252335,22.915916,,40.0,51.0,23.7665,17.148247,,44.0,3.0,23.858751,10.182337,,63.0,3.0,28.412836,10.853866,,7.0,3.0,27.50725,21.650938,,7.0,3.0,27.116,31.259941,
06/12/23,3.0,51.0,22.871836,17.673029,,11.0,53.0,22.665003,18.03237,,21.0,51.0,21.854002,17.76081,,20.0,51.0,23.0205,11.966953,,20.0,51.0,24.015831,13.202726,,26.0,51.0,24.196833,13.237039,,17.0,51.0,23.74275,13.684735,,21.0,51.0,24.003836,12.413477,,23.0,51.0,23.181503,14.458382,,18.0,51.0,22.66233,16.78156,,26.0,51.0,22.742083,10.787993,,30.0,3.0,26.802416,11.525623,,4.0,3.0,26.353083,20.858265,,43.0,3.0,26.501417,31.104082,
07/12/23,0.0,3.0,22.121836,11.440979,,8.0,3.0,21.910835,11.631956,,26.0,3.0,21.66442,11.252519,,27.0,3.0,22.51217,9.983106,,28.0,3.0,23.413748,8.854829,,30.0,51.0,23.844751,10.990322,,17.0,51.0,23.167747,9.1641035,,18.0,51.0,23.389254,8.39657,,24.0,51.0,22.702333,12.55879,,21.0,51.0,22.145666,11.183201,,37.0,51.0,22.329582,8.707238,,46.0,1.0,26.094088,13.53236,,0.0,1.0,25.936422,20.140705,,15.0,1.0,26.138914,29.775719,
08/12/23,1.0,3.0,22.432253,11.304229,,23.0,3.0,22.460833,11.090103,,30.0,3.0,22.170668,14.241629,,30.0,3.0,23.33925,12.413476,,30.0,3.0,24.017914,10.483357,,31.0,3.0,24.409332,11.885453,,33.0,3.0,23.911499,11.770403,,34.0,3.0,24.157999,10.195057,,38.0,51.0,23.471083,14.264361,,32.0,51.0,22.87275,9.504273,,34.0,51.0,22.885834,8.647496,,41.0,1.0,26.335754,15.277749,,15.0,1.0,26.159332,20.073025,,14.0,2.0,26.366,26.886963,
09/12/23,0.0,3.0,22.830168,9.0,,4.0,3.0,22.829584,10.691453,,15.0,3.0,22.19358,13.392774,,36.0,3.0,23.255919,11.753876,,32.0,3.0,24.12,11.165805,,41.0,3.0,24.6135,14.007655,,35.0,3.0,24.328169,14.689588,,36.0,3.0,24.747583,13.684735,,40.0,3.0,23.816917,15.629972,,39.0,3.0,23.29775,13.32,,77.0,3.0,23.056664,10.464798,,86.0,2.0,26.33992,10.829959,,35.0,3.0,26.25308,20.466246,,20.0,3.0,26.34725,27.959742,
10/12/23,0.0,3.0,22.090586,10.483357,,13.0,3.0,22.262917,10.829959,,17.0,3.0,21.656084,14.205182,,18.0,3.0,22.707998,11.304229,,15.0,3.0,23.597084,12.429127,,17.0,2.0,23.990583,11.440979,,8.0,3.0,24.15525,13.339445,,9.0,3.0,24.2455,12.783802,,14.0,2.0,23.833586,15.683774,,12.0,3.0,23.354002,12.768586,,16.0,3.0,22.767082,11.013882,,29.0,3.0,27.131586,9.565437,,20.0,3.0,26.888498,18.359999,,13.0,3.0,26.888916,26.072052,
