Date,SC_Delay,weather_code_SC,Temperature_SC,Wind_Speed_SC,Distance_travelled_SC,WL_Delay,weather_code_WL,Temperature_WL,Wind_Speed_WL,Distance_travelled_WL,KMT_Delay,weather_code_KMT,Temperature_KMT,Wind_Speed_KMT,Distance_travelled_KMT,BZA_Delay,weather_code_BZA,Temperature_BZA,Wind_Speed_BZA,Distance_travelled_BZA,EE_Delay,weather_code_EE,Temperature_EE,Wind_Speed_EE,Distance_travelled_EE,RJY_Delay,weather_code_RJY,Temperature_RJY,Wind_Speed_RJY,Distance_travelled_RJY,SLO_Delay,weather_code_SLO,Temperature_SLO,Wind_Speed_SLO,Distance_travelled_SLO,TUNI_Delay,weather_code_TUNI,Temperature_TUNI,Wind_Speed_TUNI,Distance_travelled_TUNI,AKP_Delay,weather_code_AKP,Temperature_AKP,Wind_Speed_AKP,Distance_travelled_AKP,DVD_Delay,weather_code_DVD,Temperature_DVD,Wind_Speed_DVD,Distance_travelled_DVD,VSKP_Delay,weather_code_VSKP,Temperature_VSKP,Wind_Speed_VSKP,Distance_travelled_VSKP
27/11/23,0.0,3.0,23.814833,14.773164,,44.0,3.0,24.904915,15.978484,,96.0,3.0,26.508673,14.84318,,43.0,3.0,27.060501,18.448023,,70.0,3.0,27.052666,18.289274,,84.0,3.0,26.118414,20.957443,,85.0,3.0,25.674751,18.751125,,81.0,3.0,25.598167,18.947083,,80.0,3.0,25.566254,15.986595,,73.0,3.0,25.213,16.263872,,66.0,3.0,25.697586,16.946787,
28/11/23,44.0,55.0,23.55025,15.03835,,76.0,51.0,24.61325,19.813087,,113.0,3.0,26.53158,13.896187,,85.0,3.0,27.245916,16.79314,,78.0,51.0,27.102663,14.759999,,99.0,3.0,26.197584,16.394829,,101.0,3.0,25.666418,16.039202,,95.0,3.0,25.573166,17.917007,,95.0,3.0,25.572502,15.192682,,84.0,3.0,25.20675,15.629972,,70.0,3.0,25.705912,16.23596,
29/11/23,0.0,3.0,23.694,14.982228,,32.0,3.0,24.984085,12.682018,,51.0,3.0,26.304499,15.188415,,2.0,51.0,26.658415,16.09969,,7.0,51.0,27.24642,16.299694,,7.0,3.0,26.097586,17.373497,,7.0,3.0,25.451834,16.93531,,3.0,3.0,25.312746,18.214718,,8.0,3.0,25.393333,16.23596,,0.0,3.0,24.965086,16.56,,3.0,3.0,25.539251,17.414476,
30/11/23,2.0,3.0,23.789839,15.856354,,39.0,3.0,25.05075,11.212135,,55.0,3.0,26.61075,12.074766,,25.0,3.0,27.160501,14.76439,,20.0,3.0,27.100584,16.299694,,30.0,3.0,25.924665,19.201874,,30.0,3.0,25.293497,18.175545,,28.0,3.0,25.377335,20.345573,,26.0,3.0,25.618334,18.374111,,16.0,3.0,25.240084,18.486622,,6.0,3.0,25.768417,18.584509,
01/12/23,0.0,2.0,23.481499,14.48972,,34.0,2.0,25.167418,11.792404,,52.0,3.0,26.714918,15.021105,,1.0,3.0,27.329252,16.485485,,17.0,3.0,27.563082,18.86139,,18.0,3.0,26.591333,21.897945,,18.0,3.0,26.130997,19.917469,,15.0,3.0,26.085669,22.104116,,0.0,3.0,25.81833,20.188908,,5.0,3.0,25.517168,20.833395,,10.0,3.0,25.8955,23.664352,
02/12/23,0.0,3.0,24.008585,14.764389,,52.0,3.0,25.517416,10.182337,,63.0,3.0,27.573248,18.899143,,25.0,51.0,27.981333,20.892412,,22.0,51.0,27.944336,22.881956,,44.0,3.0,27.366335,26.525429,,41.0,3.0,26.92475,24.251284,,38.0,53.0,27.019003,23.499481,,36.0,51.0,26.726664,22.608458,,31.0,3.0,26.49425,23.906818,,15.0,51.0,26.578833,26.00486,
03/12/23,1.0,3.0,24.814835,16.327497,,33.0,3.0,26.213247,9.983106,,60.0,55.0,28.002419,18.391735,,10.0,61.0,27.827166,27.25559,,5.0,51.0,27.488085,28.348713,,18.0,61.0,26.5205,26.576681,,16.0,63.0,25.989332,26.208395,,21.0,55.0,26.460665,26.674032,,24.0,53.0,26.16208,25.872454,,14.0,61.0,25.775497,25.872454,,0.0,55.0,25.824667,27.086262,
04/12/23,4.0,61.0,23.9065,18.448023,,33.0,53.0,25.234085,12.313893,,47.0,61.0,26.025335,20.870687,,38.0,63.0,24.279251,29.644857,,33.0,63.0,23.954748,26.576681,,27.0,63.0,23.816336,29.275326,,26.0,63.0,23.662249,24.162947,,27.0,63.0,23.471083,20.746122,,24.0,63.0,23.362082,20.447239,,17.0,63.0,23.41925,19.486609,,-2.0,63.0,24.055918,21.434364,
05/12/23,0.0,63.0,21.79817,24.387178,,24.0,63.0,22.48825,20.188908,,42.0,65.0,23.589918,24.33664,,2.0,65.0,23.498001,31.76375,,14.0,65.0,24.044334,30.173496,,11.0,65.0,24.149672,31.170673,,8.0,65.0,24.062248,28.185953,,16.0,65.0,23.871084,25.189713,,13.0,63.0,23.514166,18.35647,,6.0,65.0,23.654663,18.847641,,-3.0,65.0,24.1205,20.188908,
06/12/23,10.0,53.0,22.62525,18.888851,,34.0,61.0,21.188251,21.178896,,51.0,53.0,22.856583,22.66857,,0.0,61.0,24.658415,17.884428,,0.0,63.0,24.3235,21.41319,,4.0,55.0,24.224669,19.483284,,4.0,63.0,23.839334,14.917212,,4.0,63.0,23.64608,22.79684,,8.0,65.0,23.766249,17.373497,,0.0,63.0,23.738,16.563911,,0.0,63.0,24.010086,14.372974,
07/12/23,8.0,3.0,21.848167,11.298495,,36.0,3.0,22.602837,10.630672,,52.0,51.0,24.014915,8.905908,,0.0,3.0,25.156334,8.557102,,0.0,51.0,25.442251,8.28,,1.0,55.0,25.376753,8.64,,1.0,61.0,24.937254,8.0899935,,0.0,51.0,24.51275,8.78872,,0.0,53.0,24.26625,9.885262,,0.0,55.0,24.113,11.923557,,-15.0,51.0,24.487167,10.787993,
08/12/23,0.0,3.0,22.366915,11.013882,,26.0,3.0,22.500753,8.404285,,51.0,3.0,24.2045,9.178235,,15.0,3.0,25.185495,7.8625183,,12.0,3.0,25.07975,9.227524,,14.0,3.0,25.297585,8.854829,,17.0,51.0,24.574747,10.086427,,19.0,51.0,24.275251,10.144082,,19.0,51.0,24.107918,13.237038,,0.0,3.0,24.056753,10.233123,,2.0,51.0,24.628832,11.384199,
09/12/23,0.0,3.0,22.760666,10.464797,,24.0,3.0,22.532,10.390226,,46.0,3.0,24.119081,11.252519,,8.0,51.0,24.987581,8.913181,,1.0,3.0,24.958918,9.0,,3.0,3.0,25.310083,11.525623,,3.0,51.0,24.347666,11.4862,,4.0,51.0,24.039835,15.941944,,2.0,51.0,24.093336,12.303366,,0.0,51.0,23.938004,12.261158,,-7.0,3.0,24.430916,12.682018,
10/12/23,0.0,3.0,21.971085,12.522619,,30.0,1.0,21.852835,10.182337,,49.0,3.0,22.858667,8.759178,,11.0,51.0,24.420912,8.587338,,9.0,51.0,24.315163,9.360001,,19.0,3.0,24.705915,12.88981,,20.0,3.0,24.214334,10.966713,,20.0,51.0,23.733582,12.768586,,13.0,3.0,23.63083,14.77755,,5.0,51.0,23.281752,13.849477,,7.0,51.0,24.008003,13.910169,
11/12/23,1.0,3.0,21.581503,9.686609,,34.0,3.0,21.377832,9.659814,,46.0,3.0,22.744085,9.6932955,,0.0,3.0,24.100082,9.114471,,5.0,3.0,23.910997,12.979984,,2.0,3.0,24.137167,13.5515,,4.0,51.0,23.478918,11.090103,,8.0,51.0,23.12525,13.202726,,6.0,3.0,23.355833,14.982228,,0.0,3.0,23.03592,13.527572,,-6.0,3.0,23.680918,12.43434,
12/12/23,7.0,3.0,21.533583,10.495713,,28.0,3.0,21.490334,10.1376915,,60.0,3.0,23.264917,9.0645685,,0.0,51.0,24.237587,11.298495,,14.0,3.0,23.952667,14.081477,,18.0,2.0,24.060083,14.021525,,18.0,3.0,23.241417,11.753877,,24.0,3.0,22.983582,14.264361,,19.0,3.0,23.143335,14.512064,,5.0,3.0,22.858833,13.479583,,2.0,3.0,23.24967,14.33234,
13/12/23,0.0,3.0,21.256502,11.013882,,43.0,3.0,21.929914,10.514218,,64.0,3.0,22.835749,10.805999,,15.0,3.0,23.702162,8.473393,,31.0,3.0,23.719332,8.699793,,36.0,3.0,24.13925,13.5515,,36.0,3.0,23.106003,13.891522,,34.0,3.0,22.846083,15.277749,,32.0,3.0,22.664167,14.618837,,26.0,3.0,22.448418,13.849477,,15.0,3.0,23.189249,12.72283,
14/12/23,16.0,3.0,21.129417,11.792404,,109.0,3.0,22.436163,7.5170207,,126.0,3.0,22.979502,12.682018,,62.0,3.0,23.539667,9.504272,,92.0,2.0,23.53808,12.324414,,100.0,3.0,23.695501,13.627795,,102.0,3.0,22.860167,12.9249525,,98.0,3.0,22.844,12.849528,,96.0,3.0,22.566252,12.313893,,90.0,3.0,22.315084,13.324863,,77.0,3.0,23.185087,15.328561,
15/12/23,18.0,3.0,21.683586,10.30883,,42.0,3.0,23.011164,7.9932966,,58.0,3.0,24.366999,7.968939,,0.0,3.0,24.460503,13.0447235,,19.0,3.0,24.638083,14.4,,18.0,3.0,25.035082,17.283749,,16.0,3.0,24.18725,14.77755,,21.0,3.0,23.677336,15.463244,,14.0,3.0,23.20375,14.20062,,5.0,3.0,23.00883,14.255272,,-5.0,3.0,23.505919,16.394829,
16/12/23,7.0,3.0,22.44192,8.913181,,45.0,3.0,23.021584,8.4042845,,66.0,3.0,24.339922,8.64,,10.0,3.0,24.370916,10.805998,,27.0,3.0,24.629751,11.983188,,23.0,3.0,24.572584,15.141414,,26.0,3.0,23.714333,13.53236,,24.0,3.0,23.196083,14.973577,,18.0,3.0,22.805832,13.684735,,5.0,3.0,22.638,13.246826,,0.0,3.0,23.208,15.683776,
17/12/23,1.0,3.0,22.519,14.917212,,50.0,3.0,22.396585,10.587918,,76.0,3.0,24.071169,9.826088,,57.0,3.0,24.593836,12.864649,,75.0,3.0,24.465166,12.43434,,76.0,3.0,24.32675,13.708391,,75.0,3.0,23.716417,12.849528,,71.0,3.0,23.243998,16.1198,,72.0,3.0,23.145416,17.163355,,70.0,3.0,22.869247,16.563911,,65.0,3.0,23.212166,16.215992,
18/12/23,10.0,3.0,21.858583,14.57889,,10.0,3.0,22.165335,12.24,,42.0,3.0,23.552416,7.5685663,,5.0,3.0,24.337584,11.841756,,32.0,3.0,23.910997,12.904882,,34.0,3.0,23.939249,14.84318,,30.0,3.0,23.053917,13.849477,,26.0,3.0,22.72525,17.727943,,20.0,3.0,22.57875,12.181625,,10.0,3.0,22.433836,14.264361,,12.0,3.0,23.053835,15.39184,
